Provinsi,UHH,HLS,RLS,kapita,ipm,kelas
NusaTenggaraBarat,66.51,13.7,7.31,10351,68.25,Sedang
NusaTenggaraTimur,67.01,13.18,7.63,7598,65.19,Sedang
KalimantanBarat,70.69,12.6,7.37,8930,67.66,Sedang
KalimantanTengah,69.74,12.66,8.59,11154,71.05,Tinggi
KalimantanSelatan,68.66,12.68,8.29,12032,70.91,Tinggi
KalimantanTimur,74.33,13.72,9.77,11728,76.24,Tinggi
KalimantanUtara,72.59,12.93,9,8756,70.63,Tinggi
SulawesiUtara,71.69,12.85,9.49,10791,72.93,Tinggi
SulawesiTengah,68.69,13.17,8.83,9335,69.55,Sedang
SulawesiSelatan,70.57,13.45,8.38,11079,71.93,Tinggi
SulawesiTenggara,71.22,13.65,9.04,9331,71.45,Tinggi
Gorontalo,68.07,13.08,7.82,10020,68.68,Sedang
SulawesiBarat,65.06,12.77,7.89,9168,66.11,Sedang
Maluku,65.98,13.96,9.93,8732,69.49,Sedang
MalukuUtara,68.33,13.67,9.04,8032,68.49,Sedang
PapuaBarat,66.02,12.91,7.6,8086,65.09,Sedang
Papua,65.79,11.08,6.69,6954,60.44,Sedang
